movie_title,tomatometer_rating,audience_rating
The Limey,93,78
Limitless,69,74
The Limits of Control,43,43
Lincoln,89,80
The Lincoln Lawyer,84,82
Linsanity,63,77
Lion,85,91
The Lion King 1 1/2,76,62
Lion of the Desert (Omar Mukhtar),71,94
Lionheart,27,52
Lions for Lambs,27,47
Lipstick,13,36
Lipstick & Dynamite: The First Ladies of Wrestling,63,56
Listen Up Philip,85,54
Listening,17,42
"Literally, Right Before Aaron",25,48
Little Fauss and Big Halsy,33,44
Little,47,63
Little Accidents,53,29
Little Ashes,24,49
Little Big League,31,53
Little Big Soldier (Da bing xiao jiang),79,69
Little Birds,59,42
Little Black Book,22,37
Little Boy,23,78
Little Boy Blue,25,70
Little Buddha,68,53
Little Caesar,91,75
Little Children,80,82
Little Dieter Needs to Fly: Escape from Laos,93,94
Little Evil,92,46
Little Fockers,9,34
Little Fugitive,93,87
Little Giants,36,63
Little Italy,18,61
Little Jerusalem,63,68
Little Man,12,55
Little Man,60,80
Little Man Tate,73,66
Little Manhattan,77,86
Little Men,14,79
Little Men,96,64
The Little Mermaid: Ariel's Beginning,33,56
Little Miss Sunshine,91,91
Little Monsters,50,62
Little Monsters,83,100
Little Nicky,22,56
Little Nikita,58,46
Little Odessa,61,70
Little Pink House,75,82
Little Red Wagon,40,60
Little Secrets,60,58
Little Sister,94,55
The Little Vampire,55,55
Little Voice,79,74
Little White Lie,80,78
Little White Lies,41,64
Little Women,29,75
Little Woods,96,51
Littlerock,81,71
The Littlest Rebel,89,72
Live and Let Die,65,65
Live At The Foxes Den,0,74
Live By Night,35,42
Live Die Repeat: Edge of Tomorrow,90,90
Live Flesh (Carne trémula),80,87
Live Forever (Live Forever: The Rise and Fall of Brit Pop),80,83
Live Free or Die Hard,82,86
Live-In Maid,100,76
Live Nude Girls,38,39
Live Nude Girls Unite!,82,63
Living Among Us,14,76
The Living Daylights,71,66
Living in Emergency: Stories of Doctors Without Borders,93,78
Living in Oblivion,88,87
Living Is Easy With Eyes Closed,94,77
Living Out Loud,59,63
The Living Wake,50,70
Liz & Dick,33,19
Lizzie,66,49
Lizzie Borden Took an Ax,43,34
The Lizzie McGuire Movie,41,49
"Lo and Behold, Reveries of the Connected World",93,67
Local Color,35,58
Local Hero,100,88
"Lock, Stock and Two Smoking Barrels",75,93
Locke,90,72
Locker 13,13,53
Lockout,37,46
Loco Love,20,30
The Locusts,18,42
Logan,93,90
Logan Lucky,92,75
Logan's Run,61,67
Loggerheads,74,65
Loins of Punjab Presents,64,72
Loitering With Intent,33,26
LOL,17,51
Lola Versus,36,31
London Boulevard,36,30
"London mon amour (Mes amis, mes amours)",63,41
London Fields,0,50
London Has Fallen,26,51
London River,91,67
London: The Modern Babylon,89,82
London Town,53,69
London's Finest (Hackney's Finest),40,35
The Lone Ranger and the Lost City of Gold,60,71
Lone Survivor,75,87
Lone Wolf and Cub - Sword of Vengeance (Kozure Ôkami: Kowokashi udekashi tsukamatsuru),82,90
Lone Wolf McQuade,67,66
The Loneliness of the Long Distance Runner,73,87
Lonely are the Brave,92,84
The Lonely Guy,48,47
Lonely Hearts,48,49
Lonesome Jim,60,57
Long Weekend (Nature's Grave),0,15
The Long Gray Line,100,77
The Long Kiss Goodnight,69,70
"Long Life, Happiness & Prosperity",29,62
"The Long, Long Trailer",38,77
Long Lost,71,76
The Long Riders,83,74
The Long Ships,50,39
Long Shot,81,75
Long Time Coming: A 1955 Baseball Story,67,60
Long Way North (Tout en haut du monde),98,76
Long Weekend,86,67
The Longest Day,87,90
The Longest Yard,31,62
The Longshots,41,61
"Look at Us Now, Mother!",80,94
Look Away,17,57
Look Who's Talking,57,47
Look Who's Talking Now,0,29
"Look Who's Talking, Too",13,32
Looker,26,41
Lookin' to Get Out,25,26
Looking for an Echo,67,77
Looking for Comedy in the Muslim World,42,27
Looking for Eric,85,78
Looking for Palladin,22,33
Looking for Richard,81,79
Looking Glass,17,10
The Lookout,87,74
Looney Tunes: Back in Action,56,50
Looper,93,82
Loopers: The Caddie's Long Walk,75,86
Loose Cannons,0,26
Loosies,22,34
Loot,60,73
Lootera,60,78
L' Ora di Religione (Il Sorriso di Mia Madre) (The Religion Hour) (My Mother's Smile),84,80
Lord Byron,67,33
Lord Jim,57,57
Lord of Illusions,61,52
Lord of the Flies,63,52
Lord of the Flies,91,63
The Lord of the Rings,52,64
Lord of War,62,85
Lords of Chaos,74,60
The Lords of Discipline,38,55
Lords of Dogtown,55,81
The Lords of Flatbush,67,42
Lore,94,76
Lorenzo's Oil,92,80
Lorna's Silence,85,69
Loro,78,59
Los Angeles Plays Itself,96,85
Los ojos de Julia (Julia's Eyes),90,68
Losing Control,7,55
Losing Isaiah,45,73
The Loss of a Teardrop Diamond,25,40
Lost For Words,33,54
Lost and Delirious,51,78
Lost Angels: Skid Row Is My Home,100,86
Lost Boys of Sudan,95,83
Lost Boys: The Thirst,0,34
Lost Boys: The Tribe,0,26
Lost Child,44,75
Lost Highway,60,87
Lost Horizon,93,83
Lost in America,97,76
Lost in Hong Kong,60,49
Lost in La Mancha,94,77
Lost in Paris (Paris pieds nus),86,67
Lost in Space,28,24
Lost In Thailand,67,49
Lost in the Sun,20,37
Lost In Translation,95,85
Lost in Yonkers,71,77
Lost River,31,38
The Lost Skeleton of Cadavra,51,85
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,100,86
The Lost Weekend,100,90
The Lost World - Jurassic Park,54,51
A Lot Like Love,41,77
Louder Than A Bomb,100,81
Louder Than Bombs,73,52
LoudQUIETloud: A Film About the Pixies,68,77
Louie Bluie,100,90
Louis C.K.: 2017,95,74
"Louise Bourgeois: The Spider, the Mistress and the Tangerine",88,77
Louisiana Story,80,57
Loulou,86,74
Love and Other Drugs,48,53
"Love, Sex & Eating the Bones",57,46
Love,40,38
Love Actually,63,72
Love Affair,86,72
Love Affair,30,68
Love After Love,85,42
Love and a .45,83,70
Love and Basketball,82,95
Love and Death,100,90
Love and Death on Long Island,87,57
Love & Friendship,97,60
Love And Honor,13,39
Love & Mercy,90,85
Love and Other Catastrophes,47,72
Love and Saucers,82,82
Love & Sex,48,76
Love at First Child (Ange et Gabrielle),50,36
Love at First Fight,81,65
Love Beats Rhymes,50,69
Love Crazy,100,82
Love Crime,64,47
Love Don't Cost a Thing,13,65
Love Field,40,56
Love Free or Die,57,100
"Love, Gilda",88,83
The Love Guru,14,33
Love Happens,17,37
Love Hunter,83,90
Love in the Afternoon,88,79
Love in the Time of Cholera,25,45
Love in the Time of Money,18,26
Love Is a Many Splendored Thing,50,57
Love Is All You Need,75,59
Love Is Colder Than Death,67,59
Love Is Strange,94,66
Love Is the Devil,68,62
Love Is the Drug (Addicted to Her Love),60,49
Love Jones,67,97
Love Liza,53,77
"Love, Marilyn",65,58
Love Me if You Dare,44,89
Love Me Or Leave Me,67,74
Love Me Tender,55,66
Love N' Dancing,9,43
Love Potion No. 9,27,43
Love Ranch,13,28
"Love, Rosie",33,63
Love Serenade,90,81
"Love, Simon",92,88
Love Songs,61,78
Love Story,68,75
Love Streams,100,89
Love the Beast,61,72
Love the Coopers,18,36
Love the Hard Way,28,66
Love Thy Nature,30,88
Love Wedding Marriage,0,28
Love with the Proper Stranger,89,87
The Loved One,47,77
Lovelace,53,36
Loveless (Nelyubov),94,83
Lovely Molly,42,32
"Lovely, Still",71,75
The Lover (L'amant),32,79
Lover Come Back,90,77
Loverboy,18,36
Loves Her Gun,75,54
Love's Kitchen,19,28
Love's Labour's Lost,50,40
Lovesick,36,21
Loving,89,76
Loving Pablo,31,36
Loving Vincent,85,86
Low Down,50,50
A Low Down Dirty Shame,0,71
Low Tide,73,73
Lower City (Cidade Baixa),60,57
Lowlife,91,66
Lu Over the Wall (Yoake tsugeru Rû no uta),76,65
Luce,92,78
Lucha Mexico,69,62
"Lucia, Lucia",45,54
Luck by Chance,79,67
Lucky,23,29
Lucky Break,48,48
Lucky Day,11,67
Lucky Number Slevin,51,87
Lucky Numbers,22,19
Lucky Stiff,40,57
Lucky Them,77,58
Lucky You,29,28
Lucy,67,47
Luis and The Aliens,24,63
Lullaby,30,56
Last Hunt,88,52
Lulu on the Bridge,0,54
Lumumba,81,83
Lunch,100,64
Lupin III: The Castle of Cagliostro (Rupan sansei: Kariosutoro no shiro),94,89
Lured,100,69
Lurking Fear,20,13
"Lust, Caution",72,84
Lust in the Dust,33,80
Lust Stories,100,66
LUV,34,61
Lying and Stealing,67,14
Lyle,100,34
Lymelife,63,52
M. Butterfly,43,67
Ma,54,64
My Life in Pink (Ma Vie en Rose),91,90
MacGruber,48,35
Macao,44,58
MacArthur,50,61
Macbeth,86,73
Macbeth,79,64
Machete,72,63
Machete Kills,30,34
Machete Maidens Unleashed!,88,73
Kataude mashin gâru (The Machine Girl),63,62
Machine Gun Preacher,27,62
The Machinist,77,83
MacKenna's Gold,20,70
Mad As Hell,27,84
Mad City,36,42
Mad Cowgirl,33,89
Mad Detective,81,85
Mad Dog and Glory,77,46
Mad Hot Ballroom,84,83
Mad Love,48,65
Mad Max,90,70
Mad Max 2: The Road Warrior,95,86
Mad Max Beyond Thunderdome,80,49
Mad Max: Fury Road,97,85
Mad Monster Party,70,67
Mad Tiger,64,56
Mad to Be Normal,64,62
Madagascar,54,73
Madagascar 3: Europe's Most Wanted,79,72
Madagascar: Escape 2 Africa,64,66
Madame,43,53
Madame Bovary,43,27
Madame Curie,86,65
Madame Satã,60,81
Made,71,67
Made in America,58,33
Made in Dagenham,80,75
Made of Honor,15,55
Madea Goes to Jail,27,96
Madea's Big Happy Family,37,74
Madea's Family Reunion,25,94
Madea's Witness Protection,19,66
Madeline's Madeline,88,43
Mademoiselle C,47,33
Mademoiselle Chambon,83,68
Mother (Madeo),96,88
Madhouse,0,45
Madison,28,49
Madman,33,36
Madness in the Method,29,77
The Madness of King George,93,80
Madonna: Truth or Dare,86,70
"Madrid, 1987",86,63
The Madwoman of Chaillot,20,49
Maestro,38,76
Mafioso,96,80
The Magdalene Sisters,91,89
Maggie,60,32
Maggie's Plan,86,52
Magic Beyond Words: The JK Rowling Story,33,59
The Magic Flute,70,65
Magic in the Moonlight,51,45
Magic in the Water,21,59
Magic Magic,68,31
Magic Mike,80,60
Magic Mike XXL,66,55
The Magic Sword,33,26
Magic Trip,72,62
Magical Universe,63,70
Magnificent Obsession,90,71
Magnolia,83,89
Magnum Force,78,77
Maid in Manhattan,39,43
Maiden,98,97
Maidentrip,83,78
Mail Order Wife,61,68
Main Street,14,11
Maine,56,43
The Majestic,42,60
Major Dundee,97,67
Major League,83,84
Major League II,5,45
Major League: Back to the Minors,21,24
Major Payne,33,68
Make Believe,85,74
Make It Funky,93,90
Make It Happen,22,40
Make Out With Violence,62,46
Make Your Move,38,48
Making the Boys,95,78
Making Babies,25,58
Maktub,100,99
Mala Noche,95,64
Maleficent,53,70
Malevolent,38,18
Malibu's Most Wanted,31,54
Malice,59,46
Malice in Wonderland,10,48
Mallrats,56,82
Mama,64,55
Mama's Boy,8,26
Mambo Italiano,32,66
The Mambo Kings,81,69
Mame,29,49
Mamma Mia!,54,66
Mamma Mia! Here We Go Again,80,66
Man About Town,38,29
A Man Apart,11,62
Man Bites Dog,72,90
A Man Called Horse,86,60
Man Down,15,58
Un condamné à mort s'est échappé ou Le vent souffle où il veut (A Man Escaped),100,93
Man Friday,40,65
The Man from Elysian Fields,51,54
The Man From Laramie,100,78
The Man From Nowhere,100,90
Jimmy Carter Man From Plains,79,76
The Man from Snowy River,83,89
Man in Red Bandana,63,94
The Man in the Gray Flannel Suit,75,72
The Man in the White Suit,100,82
Man of Aran,95,74
Man of La Mancha,46,71
Man of Tai Chi,70,50
Man of the Century,71,77
Man of the House,9,46
Man of the Year,22,45
Man on a Ledge,32,52
Man on Fire,39,89
Man on Wire,100,87
Man Push Cart,88,66
Man Up,80,69
The Man Who Fell to Earth,83,69
The Man Who Knew Too Little,41,69
The Man Who Shot Liberty Valance,93,92
The Man Who Wasn't There,81,85
The Man Who Would Be King,96,91
Man With a Movie Camera,97,88
The Man with One Red Shoe,47,40
The Man with the Golden Gun,45,56
The Man with Two Brains,76,64
The Man Without a Face,65,64
The Man Without a Past,98,90
Management,47,30
Manakamana,96,61
Manborg,88,58
Manchester by the Sea,96,77
The Manchurian Candidate,80,63
Manda Bala (Send a Bullet),80,85
Mandela: Long Walk to Freedom,60,68
Manderlay,50,75
Mandingo,31,64
All the Boys Love Mandy Lane,43,31
Mandy,91,66
Manglehorn,50,25
The Mangler,27,18
Manhattan,95,92
Manhattan Melodrama,80,71
Manhattan Murder Mystery,93,84
Manhattan Night (Manhattan Nocturne),36,53
Maniac,89,31
Maniac,39,58
Maniac,52,44
Maniac Cop,46,39
Manic,67,79
Manifesto,76,54
Manito,94,73
The Manitou,33,35
Mannequin 2: On the Move,13,41
Manny,25,66
"Manolo, The Boy Who Made Shoes For Lizards",68,70
Manos: The Hands of Fate,0,20
Man's Best Friend,17,43
Man's Favorite Sport?,64,73
Mansome,25,23
The Manson Family,68,50
Manson Family Vacation,100,56
Man-Thing,17,13
Manufactured Landscapes,84,80
Manufacturing Consent - Noam Chomsky and the Media,86,94
Manuscripts Don't Burn,93,78
The Manxman,90,46
Many Adventures of Winnie the Pooh,100,88
Mao's Last Dancer,55,76
Map of the Human Heart,77,80
Mapplethorpe,31,65
Maps to the Stars,61,44
Mara,23,22
Marathon Man,80,81
Marathon: The Patriots Day Bombing,90,86
Marat/Sade,92,79
Marauders,21,31
Marc Maron: Too Real,80,66
The Marc Pease Experience,18,14
March of the Penguins,94,81
Babes In Toyland,100,78
Marci X,8,30
Mardi Gras: Made in China,68,90
Marebito,40,50
Marfa Girl,27,34
Margaret,73,48
Margin Call,87,74
Margot at the Wedding,52,40
Marguerite & Julien (Marguerite et Julien),22,33
Maria By Callas,92,74
Maria Full of Grace,97,87
Mariachi Gringo,43,69
Marianne & Leonard: Words of Love,79,85
Marie Curie: The Courage of Knowledge,63,55
Marigold,30,40
Marilyn Hotchkiss Ballroom Dancing & Charm School,22,61
Marina Abramovic: The Artist Is Present,96,88
The Marine,20,60
Marinoni: The Fire in the Frame,70,80
Mario,100,70
Marion Bridge,76,62
Marjoe,100,79
Marjorie Prime,90,62
Mark of the Devil,33,45
Mark Felt: The Man Who Brought Down the White House,35,40
Marked for Death,22,50
Marked Woman,100,70
Marketa Lazarová,100,87
Marlene,100,97
Marley,95,90
Marley & Me,62,75
Marlowe,71,49
Marmaduke,9,42
Marnie,82,73
Marooned,86,45
Die Marquise von O... (The Marquise of O),83,75
Married to It,33,41
Married to the Mob,89,48
Une femme mariée: Suite de fragments d'un film tourné en 1964 (A Married Woman),85,84
Marrowbone,47,57
The Marrying Man,10,45
Mars Attacks!,53,53
Mars Needs Moms,37,40
Mars Needs Women,0,10
Marshall,80,84
Marshland (La isla mínima),92,77
Martha Marcy May Marlene,90,71
Martian Child,34,72
Martin & Orloff,47,75
Martin Lawrence Live - Runteldat,39,69
Martyrs,59,69
Marvel's The Avengers,92,91
Marvin's Room,84,63
Marwencol,98,87
Mary,4,38
Mary and The Witch's Flower,89,70
Mary Magdalene,45,50
Mary Poppins,100,86
Mary Queen of Scots,63,41
Mary Reilly,26,40
Mary Shelley,39,49
Mary Shelley's Frankenstein,39,49
Maryam,78,75
Masai: The Rain Warriors,63,58
Mascots,49,36
M*A*S*H,85,83
The Mask of Zorro,82,72
Masked and Anonymous,25,45
Masquerade,100,89
Master and Commander: The Far Side of the World,85,80
The Master of Disguise,1,33
Master Z: Ip Man Legacy,89,73
Masterminds,19,49
Masterminds,33,35
Masters of the Universe,17,40
Masters of the Universe 2: Cyborg,20,30
Matador,95,78
Match,76,67
Match Point,76,81
Matchstick Men,82,74
Mateo,63,50
Material Girls,4,44
The Mating Habits of the Earthbound Human,33,73
The Matrix,88,85
The Matrix Reloaded,73,72
The Matrix Revisited,71,64
The Matrix Revolutions,35,60
Matru Ki Bijlee Ka Mandola,33,44
Matt Shepard is a Friend of Mine,100,86
Matthew Barney: No Restraint,52,56
Maudie,89,89
Maurice,90,87
Maurice Richard (The Rocket),56,88
Mausam,20,34
Mauvais Sang,92,82
Maverick,66,71
Mavis!,97,65
Max,69,64
Max,38,70
Max Dugan Returns,69,68
Max Keeble's Big Move,29,38
Max Manus: Man of War,79,83
Max Payne,16,30
Max Steel,0,48
Maxed Out,87,70
Maximum Overdrive,17,50
Maximum Risk,30,34
May,68,75
May In The Summer,58,46
May It Last: A Portrait of the Avett Brothers,89,98
May the Devil Take You (Sebelum iblis menjemput),83,54
Maya The Bee Movie,47,46
Mayhem,85,62
Maytime,100,88
Maze,39,45
Maze,100,48
Maze Runner: The Death Cure,43,59
Maze Runner: The Scorch Trials,46,54
McCabe & Mrs. Miller,88,87
McCanick,13,15
McConkey,100,94
McFarland USA,80,88
McLibel: Two Worlds Collide,100,69
McLintock!,67,85
McQ,50,56
McQueen,99,77
Me and Earl and the Dying Girl,81,86
Me and You and Everyone We Know,82,84
Me Before You,56,73
"Me, Myself & Irene",47,57
Me Myself I,63,57
Me Without You,66,78
Me You Them,75,72
Mea Maxima Culpa: Silence In The House Of God,98,90
Mean Creek,89,82
Mean Dreams,80,56
Mean Girls,84,66
Mean Machine,34,72
The Mean Season,50,31
Mean Streets,97,84
Meantime,75,82
Meatballs,76,58
The Mechanic,53,51
Mechanic: Resurrection,32,40
The Medallion,17,27
Medea,70,75
Medicine for Melancholy,84,65
Mediterranea,90,54
Meek's Cutoff,86,53
Meet The Browns,33,90
Meet Dave,20,35
Meet Joe Black,53,81
Meet John Doe,91,83
Meet Me In Montenegro,50,59
Meet Me In St. Louis,100,87
Meet Monica Velour,48,33
Meet the Blacks,10,73
Meet the Fockers,39,58
Ouwehoeren (Meet the Fokkens),94,68
Meet The Mormons,18,89
Meet the Parents,84,79
Meet The Patels,87,76
Meet the Robinsons,67,74
Meet the Spartans,2,25
Meet Wally Sparks,13,30
Meeting Evil,22,31
Meeting People Is Easy,71,85
Meeting Spencer,33,40
Mega Piranha,8,16
Mega Shark vs. Giant Octopus,18,20
Mega Time Squad,76,58
Megaforce,0,42
Megamind,72,72
Megan Leavey,87,82
The Mermaid (Mei ren yu),95,60
Melancholia,79,67
Melinda and Melinda,52,47
Mélo,80,61
Melvin Goes to Dinner,100,80
Memento,92,94
Memoir of War (La douleur),64,44
Memoirs of a Geisha,35,83
Memoirs of an Invisible Man,23,31
Memoria,100,47
Memories of Murder,90,94
Memories of the Sword,75,52
Memory: The Origins of Alien,82,89
Memphis,74,40
Men at Lunch,38,39
Men at Work,28,45
Men in Black,92,79
Men in Black II,39,45
Men in Black III,68,70
Men in Black International,23,66
Men of Honor,42,81
The Men Who Stare at Goats,50,39
Men with Brooms,61,67
"Men, Women & Children",33,44
Menace II Society,84,93
Mendy: A Question of Faith,75,50
Mental,43,55
Menú degustació (Tasting Menu),17,23
The Mephisto Waltz,67,39
Red & White (Merah Putih),0,56
Mercedes Sosa: The Voice of Latin America,60,57
Mercenaries,0,12
Händler der vier Jahreszeiten (The Merchant of Four Seasons),93,74
William Shakespeare's The Merchant of Venice,71,72
Merchants Of Doubt,84,78
Merci Docteur Rey,0,65
Mercury 13,100,78
Mercury Rising,17,40
Mercy,43,56
Mercy Streets,13,55
Mermaids,73,70
"Merry Christmas, Mr. Lawrence",80,79
The Merry Gentleman,65,49
Meru,89,91
Meskada,33,29
Mesrine: Public Enemy #1,81,82
Message from the King,45,50
Message in a Bottle,32,66
The Messenger: The Story of Joan of Arc,30,58
Metallica: Some Kind of Monster,89,83
Metallica Through the Never,79,73
Method to the Madness of Jerry Lewis,67,83
Metroland,64,55
Metropia,50,55
Metropolitan,91,85
The Mexican,55,44
M.F.A.,77,88
MFKZ,41,78
MI-5 (Spooks: The Greater Good),63,50
Mia and the White Lion,88,58
Mia et le Migou (Mia and the Migoo),38,63
Mia Madre,84,60
Miami Blues,81,55
Miami Connection,68,65
Miami Rhapsody,45,26
Miami Vice,46,43
Michael Jordan to the Max,67,80
Michael,79,67
Michael Clayton,90,69
Michael Collins,77,84
Michael Jackson's This Is It,81,82
Mickey Blue Eyes,45,42
Mickey's Christmas Carol,100,90
Mickey's Once Upon a Christmas,40,66
Micki + Maude,63,45
Micmacs (Micmacs à tire-larigot),72,74
Microcosmos,97,91
Mid90s,81,79
Pranzo di Ferragosto (Mid-August Lunch),88,70
Middle Men,40,56
Middle of Nowhere,88,64
Middle School: The Worst Years of My Life,63,58
Midgets vs. Mascots,0,55
Midnight Son,95,58
Midnight Cowboy,91,88
Midnight Crossing,40,38
Midnight Express,96,89
Midnight in Paris,93,83
Midnight in the Garden of Good and Evil,49,65
Midnight Return: The Story of Billy Hayes and Turkey,75,80
Midnight Run,96,87
Midnight Special,83,67
Midnight Sun,22,54
Midnighters,83,34
Midnight's Children,41,39
Midsommar,83,63
A Midsummer Night's Sex Comedy,76,57
Midway,47,72
Mifune: The Last Samurai,82,77
Mifune's Last Song (Mifune) (Mifunes sidste sang),74,85
The Mighty,75,79
The Mighty Ducks,23,65
Mighty Fine,19,51
A Mighty Heart,79,70
Xing xing wang (The Mighty Peking Man) (Colossus of Congo) (Goliathon),55,38
The Mighty Quinn,88,48
A Mighty Wind,87,75
Mike and Dave Need Wedding Dates,37,51
Mike Birbiglia: Thank God for Jokes,100,79
Mikey and Nicky,84,82
The Milagro Beanfield War,55,75
Milarepa,41,62
Mildred Pierce,86,91
Mile 22,23,44
Miles Ahead,73,57
Military Intelligence and You!,45,33
Milk,93,89
The Milk of Sorrow (La Teta Asustada),79,68
Miller's Crossing,91,90
Million Dollar Arm,65,68
Million Dollar Baby,91,90
The Million Dollar Hotel,25,68
Millions,88,78
Milton Glaser: To Inform and Delight,80,67
Milton's Secret,38,70
Secret Sunshine,94,79
Mimic 2,8,12
Mimic: Sentinel,60,15
The Last Mimzy,54,54
Mind Game,100,93
Mindhunters,24,57
Anna,33,38
Mine,17,44
Loose Cannons (Mine Vaganti),72,73
Minions,55,49
Minnie and Moskowitz,80,86
Minority Report,91,80
The Minus Man,60,46
Minuscule: Valley of the Lost Ants (Minuscule - La vallée des fourmis perdues),90,70
Miracle,80,90
Miracle at St. Anna,33,51
Miracle Mile,90,73
The Miracle of Morgan's Creek,88,83
Miracle on 34th Street,96,87
Miracle on 34th Street,59,62
Miracles from Heaven,44,81
Mirage (Durante la tormenta),71,71
Mirai,91,79
Miral,17,54
The Mirror Crack'd,63,45
The Mirror Has Two Faces,56,72
Mirror Mirror,50,45
MirrorMask,54,80
Mischief Night,100,66
Misconception,40,38
Misconduct,7,22
Misery,90,89
Misery Loves Comedy,36,34
The Misfits,97,78
De Helaasheid der Dingen (The Misfortunates),71,76
Mishima: A Life in Four Chapters,89,91
Miss Arizona,40,60
Miss Bala,87,63
Miss Bala,22,55
Miss Congeniality,42,69
Miss Congeniality 2 - Armed and Fabulous,15,43
Miss Julie,51,25
Miss Meadows,25,33
Miss Minoes,64,70
Miss Peregrine's Home for Peculiar Children,64,60
Miss Pettigrew Lives for a Day,78,71
Miss Potter,67,68
Miss Sloane,76,71
Miss Stevens,91,67
Miss You Already,71,68
Missing Link,89,67
Mission: Impossible,63,71
Mission: Impossible 2,57,43
Mission: Impossible III,70,69
Mission: Impossible - Fallout,97,87
Mission: Impossible Ghost Protocol,93,76
Mission: Impossible Rogue Nation,93,87
Mission of Honor,83,44
Mission Park,0,60
Mission to Mars,25,30
The Missionary,100,42
Missionary,45,24
Mississippi Burning,87,90
Mississippi Grind,91,55
The Missouri Breaks,76,59
The Mist,72,65
Hallam Foe (Mister Foe),73,72
Mistress,72,38
Mixed Nuts,10,46
Mo' Better Blues,73,75
Mo' Money,16,51
Moana,96,89
Mobile Homes,58,40
Mobsters,6,57
The Mod Squad,3,17
Modern Life (Profils paysans: la vie moderne),100,74
Modern Romance,81,71
Modern Times,100,95
Modigliani,4,78
Moebius,79,59
Mogambo,85,55
Mohawk,83,28
Mojados: Through the Night,80,88
Mojin: The Lost Legend,56,55
Molly,14,53
The Molly Maguires,89,62
Molly's Game,82,84
Molokai: The Story of Father Damien,63,77
Mom and Dad,75,39
Mom and Dad Save the World,9,43
Mom and Me,100,44
Moments of Clarity,40,62
Momentum,26,28
Momentum Generation,100,100
Mommie Dearest,49,72
Mommy,89,89
Mommy Dead and Dearest,100,87
Moms' Night Out,19,66
Mon Oncle,92,89
Mona Lisa,97,81
Mona Lisa Smile,34,60
Monday Night Mayhem,67,71
Mondays in the Sun (Los Lunes al sol),80,87
Mondo Cane,56,52
Money Monster,59,51
The Money Pit,47,58
Money Talks,16,71
Money Train,22,29
Moneyball,94,86
Mongol,86,76
Summer With Monika (Sommaren med Monika),100,83
Monk With a Camera,82,67
Monkey Shines: An Experiment in Fear,53,40
Monkey Trouble,50,41
Monkeybone,19,27
Monogamy,48,28
Monsieur Lazhar,97,86
Monsieur Verdoux,97,88
Monsoon Wedding,95,87
Monster,81,81
Monster Camp: The Story of NERO Seattle,64,52
Monster Family,10,22
Monster House,75,63
Monster Hunt (Zhuo Yao Ji),63,49
Monster Party,75,48
Monster Road,86,86
The Monster Squad,67,78
The Monster That Challenged the World,67,35
Monster Trucks,32,51
Monster-in-Law,17,55
Monsters,73,53
Monsters and Men,85,77
Monster's Ball,85,67
Monsters: Dark Continent,17,15
"Monsters, Inc.",96,90
Monsters University,80,81
Monsters vs. Aliens,73,59
Monte Carlo,39,49
Montenegro,93,76
Monterey Pop,100,90
A Month by the Lake,71,58
Monty Python and the Holy Grail,97,95
Monty Python's Life of Brian,95,93
Monty Python's The Meaning of Life,86,83
L'écume des jours (Mood Indigo),61,53
Moon,90,89
Moon over Parador,42,46
Moonlight,98,79
Moonlight and Valentino,15,52
Moonlight Mile,63,66
Moonrise,100,73
Moonrise Kingdom,93,86
Moonstruck,93,81
Moonwalkers,41,41
Mooz-lum,78,78
More American Graffiti,20,33
More Than a Game,71,86
More Than Honey,100,79
The More the Merrier,94,82
Morgan,38,30
Morlang,56,49
Morning Glory,55,51
Morning,45,14
The Morning After,71,39
Morning Light,33,50
Mortal Engines,27,50
Mortal Kombat,47,57
Mortal Kombat: Annihilation,2,25
Mortal Thoughts,57,35
Mortdecai,13,29
"Moscow, Belgium (Aanrijding in Moscou)",92,80
Moscow On The Hudson,86,59
Mosquita Y Mari,86,69
The Mosquito Coast,76,62
Moss,75,86
Most Beautiful Island,93,46
The Most Dangerous Game,100,73
Most Likely to Die,40,11
Most Likely to Murder,62,47
Mostly Martha (Bella Martha),92,89
Mosul,100,100
Motel Hell,71,49
Mother Kusters Goes to Heaven,100,88
mother!,69,50
Mother and Child,78,76
Mother India,92,86
"Mother, May I Sleep with Danger?",62,18
Mother Night,63,76
Mother Of George,93,66
Mother of Tears: The Third Mother,48,27
Motherhood,20,16
Mothers and Daughters,18,29
Mother's Day,42,39
Mother's Day,42,52
Mother's Day,6,44
Mother's Milk,43,33
The Mothman Prophecies,52,56
Mothra,75,61
Mothra vs. Godzilla (Mosura tai Gojira),92,68
Motorama,60,61
Moulin Rouge!,76,89
The Mountain Men,43,65
Mountain Men,80,43
Mountain Patrol (Kekexili),98,90
Mountains May Depart (Shan he gu ren),91,67
Mountains of the Moon,69,76
Mouse Hunt,42,49
The Mouse That Roared,90,73
La Moustache,86,66
Mouth to Mouth,50,50
Movie 43,5,24
Moving McAllister,10,29
Moving Midway,100,64
Mowgli: Legend of the Jungle,52,53
Mozart's Sister,74,54
Mr. Blandings Builds His Dream House,82,76
Mr. Lucky,100,69
Mr. 3000,54,30
Mr. & Mrs. Smith,59,58
Mr. Arkadin,80,81
Mr. Baseball,13,40
Mr. Bean's Holiday,52,49
Mr. Brooks,55,76
Mr. Bug Goes to Town,71,65
Mr. Church,24,80
Mr. Deeds,22,59
