movie_title,tomatometer_rating,audience_rating
The Killers,100,89
Requiem for a Heavyweight,92,89
The Rainmaker,83,77
Fallen,40,72
Fall,0,84
Great Expectations,37,78
Senseless,6,45
Merlin,82,73
The Man in the Iron Mask,33,55
Mr. Nice Guy (Yat goh hiu yan),41,44
Nightwatch,28,46
Wide Awake,40,67
Imitation of Life,89,85
Twilight,60,29
Hush,12,34
Passion (Godard's Passion),57,62
The Mark of Zorro,91,79
Of Mice and Men,100,85
A Perfect Murder,56,51
Les Miserables,74,83
Madeline,63,43
The Parent Trap,86,70
Out of Sight,93,74
The Avengers,5,15
Dirty Work,17,65
The Negotiator,75,79
Blade,54,78
Mafia!,14,47
Rounders,65,87
Return to Paradise,71,74
Funny Games,67,83
Soldier,12,44
Whatever,75,71
Tango,68,86
The Thin Red Line,80,80
Elizabeth,82,86
Happiness,81,89
Cousin Bette,41,40
Life Is Beautiful (La Vita è bella),80,96
Mighty Joe Young,55,40
At First Sight,32,46
Supernova,10,17
Lolita,68,75
True Crime,54,49
Psycho,38,28
The Siege,44,53
Gloria,17,30
The Impostors,62,73
Gunshy,20,53
Wishful Thinking,0,25
Virus,10,21
Life,50,77
Lost and Found,13,27
Go,91,78
The Mummy,59,75
